Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201302;45. Toledo;192994.75;77771.65;115222.10;135180.10;59598.60;75581.50;7286.55;1081.90;6204.65;3515.65;3332.50;182.15;43561.05;13068.40;30492.65;3451.40;690.25;2761.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;46. Valencia;829906.00;377442.95;452460.05;612668.60;297503.85;315162.75;32935.00;5477.05;27457.95;19023.35;18174.95;847.40;158270.75;55029.75;103241.00;4895.35;1021.45;3873.90;1991.35;231.90;1759.45;121.60;4.00;117.60;0.00;0.00;0.00
201302;47. Valladolid;190591.15;86061.60;104528.55;145980.45;69216.10;76764.35;3080.90;619.80;2461.10;4575.35;4472.60;102.75;33834.00;11413.15;22419.85;3120.45;339.95;2780.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;48. Bizkaia;441112.95;207778.70;233331.55;338984.50;159797.90;179184.90;916.95;67.65;849.30;15034.85;14427.05;607.80;82024.65;32553.40;49470.25;1405.25;721.05;684.20;2634.75;134.65;2500.10;112.00;77.00;35.00;0.00;0.00;0.00
201302;49. Zamora;55190.65;23338.70;31849.95;34769.55;16886.40;17883.15;1770.15;321.40;1448.75;1109.35;1076.85;32.50;13205.30;4333.05;8870.25;4336.30;721.00;3615.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;50. Zaragoza;362226.15;167035.30;195190.85;282345.35;134663.95;147681.40;4705.65;835.25;3870.40;9449.65;9150.35;299.30;61099.75;21407.70;39692.05;4551.35;966.05;3585.30;0.00;0.00;0.00;0.00;0.00;0.00;74.40;12.00;62.40
201302;51. Ceuta;20741.60;8912.85;11828.75;16151.75;6619.60;9532.15;10.95;4.95;6.00;1191.85;1152.30;39.55;3161.60;1126.00;2035.60;0.00;0.00;0.00;219.45;10.00;209.45;6.00;0.00;6.00;0.00;0.00;0.00
201302;52. Melilla;20440.70;9561.05;10879.65;15406.45;7140.65;8265.80;5.95;2.00;3.95;1491.50;1449.85;41.65;3460.80;958.55;2502.25;1.00;0.00;1.00;75.00;10.00;65.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;Total Nacional;16181274.84;7506547.89;8674634.63;11920749.26;5716927.68;6203770.16;766852.89;339980.11;426870.79;423668.47;402047.42;21596.16;2808402.58;972338.32;1836052.26;196994.42;66430.21;130562.21;47834.74;3640.32;44194.42;12560.21;4888.21;7672.00;4212.26;295.63;3916.63
201303;1. Alava;142009.95;62566.53;79440.42;116958.47;52160.26;64796.21;698.32;66.84;630.47;3232.21;3014.32;217.89;19017.26;6604.63;12412.63;2103.68;720.47;1383.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
